gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
554,554,,"Express Bus","Other Bus",Bus,2019-08-06,PEAK,"Headway / Schedule Adherence",31.000000000,63.000000000,
554,554,,"Express Bus","Other Bus",Bus,2019-08-06,OFF_PEAK,"Headway / Schedule Adherence",60.000000000,121.000000000,
556,556,,"Express Bus","Other Bus",Bus,2019-08-06,OFF_PEAK,"Headway / Schedule Adherence",38.000000000,62.000000000,
556,556,,"Express Bus","Other Bus",Bus,2019-08-06,PEAK,"Headway / Schedule Adherence",31.000000000,63.000000000,
558,558,,"Express Bus","Other Bus",Bus,2019-08-06,OFF_PEAK,"Headway / Schedule Adherence",28.000000000,39.000000000,
558,558,,"Express Bus","Other Bus",Bus,2019-08-06,PEAK,"Headway / Schedule Adherence",32.000000000,60.000000000,
Red,,"Red Line","Rapid Transit","Red Line",Rail,2019-08-07,PEAK,"Passenger Wait Time",85011.669522284,105959.339045585,
Red,,"Red Line","Rapid Transit","Red Line",Rail,2019-08-07,OFF_PEAK,"Passenger Wait Time",96480.093775753,114630.741673302,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2019-08-07,PEAK,"Passenger Wait Time",70760.208577888,78624.332538883,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2019-08-07,OFF_PEAK,"Passenger Wait Time",76927.380229128,91130.131109787,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2019-08-07,PEAK,"Passenger Wait Time",4212.513458941,5345.651599328,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2019-08-07,OFF_PEAK,"Passenger Wait Time",7166.169010323,8887.171170679,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2019-08-07,PEAK,"Passenger Wait Time",11488.537348128,14782.395495323,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2019-08-07,OFF_PEAK,"Passenger Wait Time",14270.183938487,18627.637595256,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2019-08-07,OFF_PEAK,"Passenger Wait Time",13147.541317013,18570.996917519,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2019-08-07,PEAK,"Passenger Wait Time",9709.917277450,13632.421576210,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2019-08-07,PEAK,"Passenger Wait Time",15841.888022249,19897.287475662,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2019-08-07,OFF_PEAK,"Passenger Wait Time",21176.258422902,27222.996159155,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2019-08-07,PEAK,"Passenger Wait Time",27616.289959546,28684.002409632,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2019-08-07,OFF_PEAK,"Passenger Wait Time",40206.767885719,43109.950386442,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2019-08-07,OFF_PEAK,"Headway / Schedule Adherence",992.000000000,1205.000000000,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2019-08-07,PEAK,"Headway / Schedule Adherence",264.000000000,357.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2019-08-07,PEAK,"Headway / Schedule Adherence",265.000000000,319.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2019-08-07,OFF_PEAK,"Headway / Schedule Adherence",397.000000000,479.000000000,
743,SL3,"Silver Line SL3","Rapid Transit","Silver Line",Bus,2019-08-07,PEAK,"Headway / Schedule Adherence",260.000000000,319.000000000,
743,SL3,"Silver Line SL3","Rapid Transit","Silver Line",Bus,2019-08-07,OFF_PEAK,"Headway / Schedule Adherence",1063.000000000,1342.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2019-08-07,PEAK,"Headway / Schedule Adherence",310.000000000,388.000000000,
