gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
708,CT3,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",109.000000000,201.000000000,
1,1,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",1021.000000000,1355.000000000,
1,1,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",376.000000000,515.000000000,
4,4,,"Limited Service","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",94.000000000,139.000000000,
4,4,,"Limited Service","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",32.000000000,36.000000000,
5,5,,"Limited Service","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",38.000000000,50.000000000,
7,7,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",352.000000000,417.000000000,
7,7,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",342.000000000,387.000000000,
8,8,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",120.000000000,252.000000000,
8,8,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",331.000000000,585.000000000,
9,9,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",375.000000000,452.000000000,
9,9,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",555.000000000,666.000000000,
10,10,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",320.000000000,434.000000000,
10,10,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",113.000000000,184.000000000,
11,11,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",427.000000000,561.000000000,
11,11,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",254.000000000,334.000000000,
14,14,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",50.000000000,98.000000000,
14,14,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",91.000000000,191.000000000,
15,15,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",597.000000000,809.000000000,
15,15,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",292.000000000,346.000000000,
16,16,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",141.000000000,245.000000000,
16,16,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",316.000000000,531.000000000,
17,17,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",116.000000000,142.000000000,
17,17,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",198.000000000,282.000000000,
18,18,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",41.000000000,69.000000000,
18,18,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",31.000000000,50.000000000,
19,19,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",196.000000000,310.000000000,
19,19,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",212.000000000,310.000000000,
21,21,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",176.000000000,241.000000000,
21,21,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",424.000000000,561.000000000,
22,22,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",747.000000000,966.000000000,
22,22,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",380.000000000,496.000000000,
23,23,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",498.000000000,633.000000000,
23,23,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",1138.000000000,1585.000000000,
24,24,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",113.000000000,212.000000000,
24,24,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",45.000000000,89.000000000,
26,26,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",173.000000000,222.000000000,
26,26,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",59.000000000,120.000000000,
27,27,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",55.000000000,75.000000000,
27,27,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",98.000000000,159.000000000,
28,28,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",418.000000000,591.000000000,
28,28,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",1196.000000000,1564.000000000,
29,29,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",178.000000000,389.000000000,
29,29,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",100.000000000,213.000000000,
30,30,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",68.000000000,100.000000000,
30,30,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",164.000000000,242.000000000,
31,31,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",662.000000000,911.000000000,
31,31,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",221.000000000,283.000000000,
32,32,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",817.000000000,1025.000000000,
32,32,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",425.000000000,494.000000000,
33,33,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",42.000000000,82.000000000,
33,33,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",77.000000000,139.000000000,
34,34,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",389.000000000,511.000000000,
34,34,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",206.000000000,270.000000000,
34E,34E,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",187.000000000,339.000000000,
34E,34E,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",400.000000000,740.000000000,
35,35,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",197.000000000,307.000000000,
35,35,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",141.000000000,190.000000000,
36,36,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",154.000000000,247.000000000,
36,36,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",337.000000000,445.000000000,
37,37,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",121.000000000,144.000000000,
37,37,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",162.000000000,198.000000000,
38,38,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",125.000000000,138.000000000,
38,38,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",167.000000000,195.000000000,
39,39,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",1073.000000000,1381.000000000,
39,39,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",473.000000000,605.000000000,
40,40,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",71.000000000,92.000000000,
40,40,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",113.000000000,182.000000000,
41,41,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",59.000000000,175.000000000,
41,41,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",166.000000000,357.000000000,
42,42,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",225.000000000,311.000000000,
42,42,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",77.000000000,104.000000000,
43,43,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",79.000000000,106.000000000,
43,43,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",226.000000000,304.000000000,
44,44,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",413.000000000,601.000000000,
44,44,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",196.000000000,262.000000000,
45,45,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",192.000000000,265.000000000,
45,45,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",405.000000000,549.000000000,
47,47,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",159.000000000,243.000000000,
47,47,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",271.000000000,521.000000000,
50,50,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",72.000000000,108.000000000,
50,50,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",111.000000000,151.000000000,
51,51,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",80.000000000,116.000000000,
51,51,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",171.000000000,230.000000000,
52,52,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",116.000000000,178.000000000,
52,52,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",74.000000000,147.000000000,
55,55,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",93.000000000,141.000000000,
55,55,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",57.000000000,92.000000000,
57,57,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",420.000000000,533.000000000,
57,57,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",848.000000000,1189.000000000,
59,59,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",55.000000000,105.000000000,
59,59,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",154.000000000,201.000000000,
60,60,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",310.000000000,445.000000000,
60,60,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",116.000000000,168.000000000,
62,62,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",152.000000000,223.000000000,
62,62,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",93.000000000,162.000000000,
64,64,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",73.000000000,98.000000000,
64,64,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",134.000000000,194.000000000,
65,65,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",135.000000000,238.000000000,
65,65,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",149.000000000,213.000000000,
66,66,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",372.000000000,478.000000000,
66,66,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",899.000000000,1201.000000000,
67,67,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",87.000000000,104.000000000,
67,67,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",49.000000000,70.000000000,
68,68,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",53.000000000,71.000000000,
68,68,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",20.000000000,41.000000000,
69,69,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",92.000000000,114.000000000,
69,69,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",215.000000000,265.000000000,
70,70,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",350.000000000,631.000000000,
70,70,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",148.000000000,260.000000000,
70A,70A,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",99.000000000,187.000000000,
70A,70A,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",72.000000000,129.000000000,
71,71,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",313.000000000,369.000000000,
71,71,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",568.000000000,702.000000000,
72,72,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",234.000000000,302.000000000,
72,72,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",108.000000000,145.000000000,
73,73,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",403.000000000,464.000000000,
73,73,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",611.000000000,687.000000000,
74,74,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",60.000000000,77.000000000,
74,74,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",179.000000000,236.000000000,
75,75,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",32.000000000,49.000000000,
75,75,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",77.000000000,102.000000000,
76,76,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",169.000000000,230.000000000,
76,76,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",102.000000000,131.000000000,
77,77,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",1076.000000000,1377.000000000,
77,77,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",294.000000000,364.000000000,
78,78,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",110.000000000,155.000000000,
78,78,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",268.000000000,367.000000000,
79,79,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",189.000000000,206.000000000,
79,79,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",82.000000000,118.000000000,
80,80,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",75.000000000,107.000000000,
80,80,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",283.000000000,374.000000000,
83,83,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",62.000000000,110.000000000,
83,83,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",233.000000000,290.000000000,
84,84,,"Limited Service","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",11.000000000,15.000000000,
84,84,,"Limited Service","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",31.000000000,87.000000000,
85,85,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",54.000000000,85.000000000,
85,85,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",23.000000000,38.000000000,
86,86,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",155.000000000,239.000000000,
86,86,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",253.000000000,499.000000000,
87,87,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",105.000000000,221.000000000,
87,87,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",380.000000000,534.000000000,
88,88,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",428.000000000,536.000000000,
