gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
15,15,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",251.000000000,321.000000000,
15,15,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",616.000000000,802.000000000,
16,16,,"Local Bus","Other Bus",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",118.000000000,232.000000000,
16,16,,"Local Bus","Other Bus",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",361.000000000,569.000000000,
17,17,,"Local Bus","Other Bus",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",107.000000000,142.000000000,
17,17,,"Local Bus","Other Bus",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",242.000000000,287.000000000,
18,18,,"Local Bus","Other Bus",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",46.000000000,68.000000000,
18,18,,"Local Bus","Other Bus",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",38.000000000,51.000000000,
19,19,,"Local Bus","Other Bus",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",183.000000000,386.000000000,
19,19,,"Local Bus","Other Bus",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",166.000000000,315.000000000,
21,21,,"Local Bus","Other Bus",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",161.000000000,234.000000000,
21,21,,"Local Bus","Other Bus",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",334.000000000,509.000000000,
22,22,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",779.000000000,1085.000000000,
22,22,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",342.000000000,458.000000000,
23,23,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",1099.000000000,1487.000000000,
23,23,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",460.000000000,600.000000000,
24,24,,"Local Bus","Other Bus",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",43.000000000,88.000000000,
24,24,,"Local Bus","Other Bus",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",162.000000000,225.000000000,
26,26,,"Local Bus","Other Bus",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",67.000000000,127.000000000,
26,26,,"Local Bus","Other Bus",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",172.000000000,249.000000000,
27,27,,"Local Bus","Other Bus",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",72.000000000,89.000000000,
27,27,,"Local Bus","Other Bus",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",131.000000000,167.000000000,
28,28,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",1131.000000000,1514.000000000,
28,28,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",450.000000000,601.000000000,
29,29,,"Local Bus","Other Bus",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",177.000000000,393.000000000,
29,29,,"Local Bus","Other Bus",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",98.000000000,260.000000000,
30,30,,"Local Bus","Other Bus",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",72.000000000,106.000000000,
30,30,,"Local Bus","Other Bus",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",203.000000000,257.000000000,
