gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
88,88,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",302.000000000,389.000000000,
89,89,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",112.000000000,233.000000000,
90,90,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",27.000000000,68.000000000,
91,91,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",48.000000000,143.000000000,
93,93,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",49.000000000,146.000000000,
94,94,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",162.000000000,210.000000000,
95,95,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",129.000000000,158.000000000,
96,96,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",170.000000000,299.000000000,
97,97,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",52.000000000,99.000000000,
99,99,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",116.000000000,193.000000000,
100,100,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",128.000000000,184.000000000,
101,101,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",311.000000000,437.000000000,
104,104,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",176.000000000,334.000000000,
105,105,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",18.000000000,72.000000000,
106,106,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",103.000000000,242.000000000,
108,108,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",18.000000000,131.000000000,
109,109,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",186.000000000,408.000000000,
110,110,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",226.000000000,333.000000000,
111,111,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",1573.000000000,1960.000000000,
112,112,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",92.000000000,153.000000000,
116,116,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",291.000000000,407.000000000,
117,117,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",340.000000000,488.000000000,
119,119,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",81.000000000,119.000000000,
120,120,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",132.000000000,239.000000000,
134,134,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",160.000000000,219.000000000,
136,136,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",22.000000000,48.000000000,
137,137,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",17.000000000,55.000000000,
171,171,,"Limited Service","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",2.000000000,5.000000000,
201,201,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",74.000000000,114.000000000,
202,202,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",49.000000000,59.000000000,
211,211,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",73.000000000,91.000000000,
215,215,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",161.000000000,268.000000000,
216,216,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",120.000000000,214.000000000,
220,220,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",165.000000000,235.000000000,
222,222,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",138.000000000,201.000000000,
225,225,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",181.000000000,235.000000000,
230,230,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",137.000000000,234.000000000,
236,236,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",54.000000000,133.000000000,
238,238,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",128.000000000,229.000000000,
240,240,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",125.000000000,281.000000000,
350,350,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",127.000000000,185.000000000,
426,426,,"Express Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",254.000000000,346.000000000,
429,429,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",74.000000000,144.000000000,
435,435,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",38.000000000,75.000000000,
441,441,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",61.000000000,138.000000000,
442,442,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",85.000000000,207.000000000,
450,450,,"Express Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",214.000000000,284.000000000,
455,455,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",207.000000000,323.000000000,
Red,,"Red Line","Rapid Transit","Red Line",Rail,2019-09-02,PEAK,"Passenger Wait Time",101958.240310854,114968.227707052,
Red,,"Red Line","Rapid Transit","Red Line",Rail,2019-09-02,OFF_PEAK,"Passenger Wait Time",98250.356539463,107879.168332692,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2019-09-02,OFF_PEAK,"Passenger Wait Time",83122.678662952,90159.947532853,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2019-09-02,PEAK,"Passenger Wait Time",71352.196789466,78825.465909481,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2019-09-02,PEAK,"Passenger Wait Time",4560.857882846,5300.342794163,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2019-09-02,OFF_PEAK,"Passenger Wait Time",6676.092128269,8171.637010977,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2019-09-02,PEAK,"Passenger Wait Time",11893.779749764,13912.790051174,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2019-09-02,OFF_PEAK,"Passenger Wait Time",17257.884334917,19988.088119221,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2019-09-02,PEAK,"Passenger Wait Time",12301.735120843,14552.643584938,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2019-09-02,OFF_PEAK,"Passenger Wait Time",16484.470001841,19950.036444210,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2019-09-02,OFF_PEAK,"Passenger Wait Time",22571.358208419,25999.401357835,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2019-09-02,PEAK,"Passenger Wait Time",18735.412021735,21544.886032635,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2019-09-02,OFF_PEAK,"Passenger Wait Time",39049.803461633,40490.918141169,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2019-09-02,PEAK,"Passenger Wait Time",26741.220105491,28822.048162065,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2019-09-02,OFF_PEAK,"Headway / Schedule Adherence",1329.000000000,1638.000000000,
